image_name,resized_size,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,aspect_ratio
Image_6894,384,15,19,17,2.37,1.27
Image_6820,384,22,24,23,2.12,1.09
Image_7162,384,20,25,22,2.45,1.25
Image_7684,384,24,23,23,1.76,0.96
Image_7093,384,21,21,21,2.64,1.0
Image_7212,384,21,22,21,1.31,1.05
Image_7476,384,21,21,21,2.36,1.0
Image_7648,384,16,18,17,1.89,1.12
Image_7064,384,26,29,27,2.01,1.12
Image_6723,384,19,19,19,1.33,1.0
Image_7036,384,19,23,21,1.47,1.21
Image_6940,384,17,26,21,1.73,1.53
Image_7152,384,15,25,19,1.54,1.67
Image_7300,384,21,20,20,2.13,0.95
Image_6895,384,96,72,83,6.2,0.75
Image_7451,384,94,62,76,2.12,0.66
Image_7099,384,79,48,62,4.39,0.61
Image_7236,384,87,44,62,2.23,0.51
Image_6984,384,58,40,48,3.78,0.69
Image_7135,384,92,37,58,2.46,0.4
Image_7014,384,58,36,46,3.05,0.62
Image_7252,384,43,33,38,3.44,0.77
Image_7021,384,64,40,51,2.62,0.62
Image_7267,384,20,45,30,1.72,2.25
Image_6961,384,15,28,20,1.33,1.87
Image_7624,384,42,28,34,4.93,0.67
Image_7234,384,58,22,36,3.01,0.38
Image_6726,384,120,25,55,4.78,0.21
Image_7698,384,24,85,45,3.01,3.54
Image_7680,384,16,26,20,1.31,1.62
Image_7091,384,19,32,25,2.85,1.68
Image_6902,384,40,58,48,8.69,1.45
Image_7594,384,19,27,23,2.61,1.42
Image_7422,384,20,49,31,2.84,2.45
Image_7243,384,39,43,41,3.07,1.1
Image_7515,384,54,86,68,4.96,1.59
Image_7182,384,57,82,68,3.51,1.44
Image_6848,384,16,19,17,1.73,1.19
Image_7551,384,33,55,43,3.5,1.67
Image_6806,384,39,48,43,3.36,1.23
Image_6930,384,73,62,67,8.99,0.85
Image_7040,384,19,24,21,3.77,1.26
Image_6868,384,42,60,50,4.33,1.43
Image_6863,384,50,52,51,6.26,1.04
Image_6912,384,52,39,45,3.0,0.75
Image_7102,384,20,53,33,1.99,2.65
Image_7115,384,7,25,13,0.97,3.57
Image_7089,384,9,11,10,1.65,1.22
Image_6937,384,18,13,15,1.19,0.72
Image_6958,384,28,34,31,4.35,1.21
Image_6790,384,15,19,17,2.3,1.27
Image_7103,384,28,53,39,4.27,1.89
Image_7336,384,29,32,30,1.7,1.1
Image_7663,384,25,12,17,2.08,0.48
Image_7560,384,20,55,33,3.09,2.75
Image_6997,384,32,18,24,1.63,0.56
Image_7046,384,18,31,24,3.82,1.72
Image_6851,384,26,25,25,3.37,0.96
Image_6963,384,22,31,26,2.98,1.41
Image_7180,384,26,38,31,2.23,1.46
Image_6837,384,27,50,37,4.13,1.85
Image_6921,384,23,42,31,1.49,1.83
Image_7311,384,54,74,63,4.39,1.37
Image_7189,384,17,29,22,1.6,1.71
Image_7242,384,24,42,32,2.67,1.75
Image_7310,384,21,45,31,2.73,2.14
Image_7447,384,25,33,29,2.77,1.32
Image_6747,384,22,38,29,2.35,1.73
Image_7357,384,27,41,33,2.84,1.52
Image_6769,384,8,29,15,1.32,3.62
Image_7496,384,13,64,29,2.43,4.92
Image_7373,384,29,46,37,1.77,1.59
Image_7270,384,22,37,29,1.59,1.68
Image_7703,384,15,25,19,2.07,1.67
Image_7479,384,44,47,45,1.19,1.07
Image_6763,384,8,28,15,1.82,3.5
Image_7289,384,12,27,18,2.51,2.25
Image_7044,384,34,72,49,1.62,2.12
Image_7141,384,40,75,55,1.73,1.88
Image_7211,384,31,54,41,4.19,1.74
Image_7244,384,19,18,18,2.52,0.95
Image_7302,384,29,40,34,4.12,1.38
Image_6752,384,70,64,67,4.89,0.91
Image_7035,384,23,27,25,3.35,1.17
Image_7074,384,22,25,23,2.71,1.14
Image_7485,384,14,37,23,1.83,2.64
Image_7073,384,45,54,49,4.27,1.2
Image_6831,384,38,59,47,5.68,1.55
Image_7432,384,16,18,17,1.77,1.12
Image_7186,384,8,15,11,1.73,1.88
Image_6976,384,13,18,15,2.93,1.38
Image_7416,384,16,16,16,1.37,1.0
Image_6780,384,14,39,23,2.7,2.79
Image_7552,384,29,40,34,3.08,1.38
Image_7303,384,20,33,26,1.63,1.65
Image_7331,384,21,43,30,2.32,2.05
Image_7327,384,23,46,33,3.13,2.0
Image_7151,384,26,37,31,3.16,1.42
Image_7210,384,44,41,42,1.69,0.93
Image_7664,384,45,67,55,3.54,1.49
Image_6861,384,56,62,59,3.05,1.11
Image_7340,384,54,38,45,3.83,0.7
Image_7218,384,61,56,58,3.64,0.92
Image_6953,384,80,70,75,2.19,0.88
Image_7232,384,44,47,45,3.85,1.07
Image_6970,384,13,26,18,2.92,2.0
Image_6774,384,25,19,22,2.05,0.76
Image_7274,384,106,60,80,5.63,0.57
Image_7214,384,38,44,41,3.07,1.16
Image_6776,384,54,45,49,4.37,0.83
Image_7575,384,36,60,46,4.27,1.67
Image_7470,384,41,27,33,1.28,0.66
Image_7574,384,29,26,27,1.82,0.9
Image_7119,384,20,16,18,2.26,0.8
Image_7402,384,55,15,29,3.47,0.27
Image_7524,384,50,48,49,4.5,0.96
Image_6992,384,46,29,37,2.72,0.63
Image_7313,384,30,25,27,2.6,0.83
Image_7335,384,20,21,20,2.59,1.05
Image_7396,384,32,123,63,6.24,3.84
Image_7220,384,54,34,43,1.58,0.63
Image_7351,384,30,24,27,2.56,0.8
Image_7213,384,73,58,65,2.66,0.79
Image_7154,384,54,17,30,5.2,0.31
Image_7379,384,57,12,26,2.99,0.21
Image_7464,384,24,308,86,4.43,12.83
Image_7528,384,20,361,85,2.84,18.05
Image_7008,384,38,128,70,4.92,3.37
Image_7439,384,85,22,43,2.08,0.26
Image_7166,384,80,46,61,2.19,0.57
Image_6749,384,57,38,47,3.71,0.67
Image_7227,384,48,85,64,2.03,1.77
Image_7441,384,56,63,59,3.38,1.12
Image_7355,384,56,82,68,3.22,1.46
Image_7261,384,54,58,56,2.96,1.07
Image_6952,384,34,49,41,2.91,1.44
Image_7572,384,49,66,57,4.88,1.35
Image_7332,384,39,29,34,3.0,0.74
Image_6720,384,51,81,64,4.44,1.59
Image_6887,384,65,61,63,3.97,0.94
Image_7571,384,36,40,38,2.57,1.11
Image_7376,384,55,65,60,3.5,1.18
Image_7467,384,52,78,64,5.46,1.5
Image_7078,384,57,90,72,5.94,1.58
Image_7156,384,41,31,36,2.64,0.76
Image_7254,384,81,88,84,6.2,1.09
Image_7235,384,33,101,58,4.4,3.06
Image_7405,384,27,96,51,4.7,3.56
Image_7692,384,31,107,58,3.31,3.45
Image_7150,384,27,27,27,3.2,1.0
Image_7608,384,19,46,30,3.14,2.42
Image_6874,384,42,76,56,3.98,1.81
Image_7142,384,27,66,42,3.01,2.44
Image_6826,384,12,80,31,3.48,6.67
Image_7255,384,43,91,63,5.58,2.12
Image_7453,384,29,110,56,2.41,3.79
Image_7425,384,22,52,34,2.32,2.36
Image_6843,384,30,80,49,4.19,2.67
Image_6754,384,14,91,36,1.31,6.5
Image_7010,384,15,64,31,4.37,4.27
Image_7160,384,26,89,48,2.79,3.42
Image_7697,384,24,307,86,3.95,12.79
Image_7677,384,16,109,42,4.95,6.81
Image_7170,384,24,298,85,6.06,12.42
Image_7585,384,12,130,39,1.89,10.83
Image_6727,384,21,295,79,2.7,14.05
Image_6746,384,22,166,60,2.09,7.55
Image_7626,384,18,168,55,1.37,9.33
Image_7657,384,18,160,54,1.84,8.89
Image_7469,384,155,22,58,2.13,0.14
Image_7358,384,351,27,97,1.59,0.08
Image_7652,384,17,163,53,1.57,9.59
Image_7672,384,364,24,93,1.47,0.07
Image_7369,384,26,171,67,6.0,6.58
Image_6734,384,21,124,51,2.45,5.9
Image_7670,384,15,160,49,2.73,10.67
Image_6998,384,90,26,48,2.71,0.29
Image_7072,384,13,89,34,1.37,6.85
Image_6757,384,82,70,76,2.03,0.85
Image_6975,384,139,93,114,2.76,0.67
Image_7172,384,260,129,183,6.8,0.5
Image_6817,384,129,52,82,3.23,0.4
Image_7569,384,20,40,28,2.32,2.0
Image_6717,384,10,233,48,2.68,23.3
Image_7184,384,10,141,38,2.43,14.1
Image_7112,384,21,25,23,2.14,1.19
Image_7429,384,9,169,39,1.13,18.78
Image_7456,384,14,179,50,1.62,12.79
Image_7408,384,9,133,35,4.52,14.78
Image_6915,384,9,152,37,1.44,16.89
Image_7465,384,18,347,79,1.93,19.28
Image_7017,384,11,123,37,2.67,11.18
Image_7607,384,16,30,22,2.73,1.88
Image_7256,384,6,56,18,1.13,9.33
Image_7276,384,9,32,17,2.94,3.56
Image_7158,384,21,52,33,2.25,2.48
Image_7007,384,13,38,22,2.31,2.92
Image_7031,384,14,216,55,1.37,15.43
Image_6899,384,8,33,16,1.68,4.12
Image_7324,384,11,147,40,1.45,13.36
Image_6805,384,12,166,45,1.89,13.83
Image_7343,384,17,32,23,3.26,1.88
Image_7553,384,15,206,56,4.2,13.73
Image_7229,384,10,103,32,5.8,10.3
Image_7385,384,13,202,51,1.93,15.54
Image_7400,384,12,138,41,1.54,11.5
Image_6755,384,16,35,24,1.94,2.19
Image_6712,384,13,25,18,1.76,1.92
Image_7708,384,22,42,30,2.2,1.91
Image_6889,384,13,33,21,2.34,2.54
Image_7268,384,44,64,53,4.1,1.45
Image_7620,384,24,46,33,3.07,1.92
Image_7628,384,37,49,43,2.26,1.32
Image_6789,384,17,33,24,1.33,1.94
Image_7621,384,32,45,38,1.59,1.41
Image_7675,384,13,36,22,1.85,2.77
Image_7646,384,23,61,37,1.82,2.65
Image_7644,384,29,32,30,3.06,1.1
Image_7638,384,39,79,56,1.72,2.03
Image_6762,384,164,6,31,1.31,0.04
Image_7130,384,216,10,46,1.19,0.05
Image_7397,384,224,8,42,1.19,0.04
Image_7185,384,304,10,55,1.44,0.03
Image_7202,384,364,8,54,1.37,0.02
Image_6808,384,16,274,66,1.82,17.12
Image_7052,384,138,14,44,7.27,0.1
Image_6745,384,198,7,37,1.37,0.04
Image_7458,384,191,13,50,1.63,0.07
Image_7068,384,361,19,83,0.97,0.05
Image_6929,384,205,8,40,1.31,0.04
Image_7057,384,257,10,51,0.97,0.04
Image_6878,384,203,7,38,0.69,0.03
Image_7101,384,57,58,57,5.83,1.02
Image_6974,384,20,24,22,3.71,1.2
Image_7603,384,17,9,12,2.59,0.53
Image_7168,384,41,58,49,5.66,1.41
Image_6945,384,38,12,21,1.64,0.32
Image_6731,384,84,49,64,1.44,0.58
Image_7005,384,27,21,24,1.89,0.78
Image_7272,384,51,23,34,3.89,0.45
Image_7048,384,50,15,27,1.19,0.3
Image_7478,384,90,40,60,2.26,0.44
Image_7356,384,36,39,37,3.13,1.08
Image_7147,384,38,32,35,4.73,0.84
Image_7407,384,38,44,41,3.96,1.16
Image_7285,384,20,38,28,1.72,1.9
Image_7059,384,50,46,48,2.13,0.92
Image_6844,384,14,35,22,1.94,2.5
Image_6972,384,23,59,37,0.97,2.57
Image_6999,384,25,45,34,1.7,1.8
Image_7454,384,80,13,32,1.48,0.16
Image_6818,384,59,31,43,1.84,0.53
Image_7230,384,25,41,32,1.76,1.64
Image_6870,384,22,35,28,1.76,1.59
Image_7352,384,27,24,25,2.28,0.89
Image_6834,384,23,32,27,1.62,1.39
Image_7548,384,12,47,24,1.59,3.92
Image_6766,384,18,92,41,2.11,5.11
Image_7053,384,37,135,71,4.22,3.65
Image_7320,384,29,100,54,3.32,3.45
Image_7437,384,30,51,39,1.28,1.7
Image_6903,384,41,67,52,4.13,1.63
Image_7296,384,35,136,69,4.81,3.89
Image_7196,384,14,47,26,2.03,3.36
Image_7559,384,40,51,45,5.04,1.27
Image_7238,384,43,69,54,2.16,1.6
Image_6867,384,24,89,46,3.67,3.71
Image_7669,384,57,52,54,2.78,0.91
Image_6719,384,26,64,41,3.93,2.46
Image_6761,384,21,63,36,1.33,3.0
Image_7489,384,64,13,29,2.14,0.2
Image_7350,384,50,21,32,2.44,0.42
Image_7468,384,51,12,25,2.57,0.24
Image_6792,384,57,69,63,4.19,1.21
Image_7092,384,46,23,33,2.88,0.5
Image_7685,384,79,32,50,2.79,0.41
Image_6880,384,64,26,41,2.31,0.41
Image_7505,384,59,17,32,2.26,0.29
Image_7495,384,28,44,35,1.54,1.57
Image_7653,384,24,29,26,5.5,1.21
Image_7705,384,17,42,27,1.73,2.47
Image_6730,384,17,90,39,2.51,5.29
Image_7038,384,15,87,36,2.3,5.8
Image_7054,384,22,24,23,1.85,1.09
Image_6951,384,29,36,32,2.08,1.24
Image_7279,384,24,104,50,2.13,4.33
Image_6968,384,15,80,35,1.68,5.33
Image_7322,384,16,76,35,2.33,4.75
Image_6967,384,20,26,23,1.19,1.3
Image_7597,384,40,24,31,5.16,0.6
Image_7025,384,33,33,33,3.74,1.0
Image_7634,384,36,26,31,2.39,0.72
Image_7409,384,68,33,47,3.63,0.49
Image_7294,384,15,74,33,3.29,4.93
Image_6812,384,29,75,47,3.26,2.59
Image_7654,384,17,51,29,4.67,3.0
Image_7562,384,75,32,49,3.73,0.43
Image_6850,384,64,122,88,3.62,1.91
Image_7032,384,45,96,66,2.61,2.13
Image_6982,384,47,108,71,4.13,2.3
Image_7591,384,57,133,87,3.76,2.33
Image_7641,384,58,90,72,5.76,1.55
Image_7246,384,54,91,70,5.15,1.69
Image_6949,384,67,118,89,4.08,1.76
Image_7395,384,58,122,84,4.37,2.1
Image_6917,384,45,113,71,2.75,2.51
Image_6781,384,58,117,82,2.89,2.02
Image_7599,384,63,131,91,3.77,2.08
Image_7696,384,41,82,58,3.46,2.0
Image_7699,384,45,111,71,2.5,2.47
Image_7194,384,53,110,76,3.49,2.08
Image_7337,384,63,118,86,4.07,1.87
Image_7353,384,49,113,74,2.64,2.31
Image_7546,384,50,117,76,5.24,2.34
Image_6740,384,49,116,75,3.93,2.37
Image_7363,384,40,70,53,2.32,1.75
Image_6786,384,47,84,63,2.8,1.79
Image_7177,384,50,64,57,2.01,1.28
Image_7497,384,65,90,76,2.64,1.38
Image_6913,384,56,78,66,2.73,1.39
Image_6883,384,56,41,48,2.68,0.73
Image_7275,384,48,58,53,4.14,1.21
Image_7690,384,60,81,70,3.15,1.35
Image_7629,384,10,17,13,1.55,1.7
Image_7026,384,31,40,35,2.33,1.29
Image_6966,384,55,68,61,1.89,1.24
Image_6816,384,30,47,38,4.52,1.57
Image_7612,384,82,67,74,3.33,0.82
Image_6942,384,41,47,44,3.35,1.15
Image_6709,384,35,52,43,5.4,1.49
Image_6708,384,7,11,9,1.76,1.57
Image_6707,384,47,63,54,3.08,1.34
Image_6706,384,60,66,63,4.98,1.1
Image_6705,384,17,19,18,1.72,1.12
Image_6704,384,25,24,24,2.16,0.96
Image_6703,384,22,16,19,1.77,0.73
Image_6702,384,18,13,15,2.08,0.72
Image_6701,384,25,17,21,2.06,0.68
Image_6700,384,11,23,16,1.72,2.09
Image_6699,384,22,39,29,2.14,1.77
Image_6698,384,18,9,13,1.84,0.5
Image_6697,384,11,16,13,1.91,1.45
Image_6696,384,41,28,34,5.89,0.68
Image_6695,384,36,28,32,2.67,0.78
Image_6694,384,50,59,54,3.84,1.18
Image_6693,384,15,14,14,1.47,0.93
Image_6692,384,49,49,49,2.41,1.0
Image_6691,384,18,22,20,1.59,1.22
Image_6690,384,19,24,21,2.48,1.26
Image_6689,384,11,14,12,2.16,1.27
Image_6688,384,9,16,12,1.85,1.78
Image_6687,384,34,47,40,2.59,1.38
Image_6686,384,63,61,62,3.93,0.97
Image_6685,384,19,19,19,1.95,1.0
Image_6684,384,23,43,31,2.8,1.87
Image_6683,384,67,73,70,2.31,1.09
Image_6682,384,14,10,12,1.97,0.71
Image_6681,384,22,44,31,1.89,2.0
Image_6680,384,11,19,14,1.44,1.73
Image_6679,384,39,34,36,3.38,0.87
Image_6678,384,8,17,12,2.12,2.12
Image_6677,384,45,52,48,3.24,1.16
Image_6676,384,11,14,12,1.96,1.27
Image_6675,384,16,12,14,1.59,0.75
Image_6674,384,17,20,18,1.72,1.18
Image_6673,384,17,15,16,1.44,0.88
Image_6672,384,12,16,14,1.73,1.33
Image_6671,384,26,31,28,2.23,1.19
Image_6670,384,7,18,11,1.63,2.57
Image_6669,384,26,28,27,2.52,1.08
Image_6668,384,22,34,27,2.73,1.55
Image_6667,384,43,37,40,5.16,0.86
Image_6666,384,18,32,24,3.24,1.78
Image_6665,384,10,15,12,2.25,1.5
Image_6664,384,33,44,38,1.82,1.33
Image_6663,384,17,24,20,2.33,1.41
Image_6662,384,48,34,40,3.15,0.71
Image_6642,384,6,13,9,1.59,2.17
Image_6641,384,19,16,17,2.95,0.84
Image_6640,384,39,83,57,4.23,2.13
Image_6639,384,17,28,22,2.13,1.65
Image_6638,384,38,68,51,2.85,1.79
Image_6637,384,29,161,68,3.05,5.55
Image_6636,384,335,34,107,2.5,0.1
Image_6635,384,32,345,105,3.42,10.78
Image_6634,384,57,203,108,5.75,3.56
Image_6633,384,42,343,120,3.27,8.17
Image_6632,384,20,185,61,2.62,9.25
Image_6631,384,16,252,63,3.37,15.75
Image_6630,384,32,339,104,3.54,10.59
Image_6629,384,31,326,101,4.82,10.52
Image_6628,384,31,245,87,3.4,7.9
Image_6627,384,10,119,34,1.72,11.9
Image_6626,384,41,38,39,2.25,0.93
Image_6625,384,13,178,48,4.19,13.69
Image_6624,384,23,223,72,2.62,9.7
Image_6623,384,103,28,54,2.73,0.27
Image_6622,384,259,17,66,3.65,0.07
Image_6621,384,21,311,81,2.59,14.81
Image_6620,384,20,317,80,2.87,15.85
Image_6619,384,29,329,98,3.15,11.34
Image_6618,384,43,306,115,5.3,7.12
Image_6617,384,30,137,64,3.93,4.57
Image_6616,384,22,248,74,5.03,11.27
Image_6615,384,21,287,78,3.7,13.67
Image_6614,384,8,319,51,1.49,39.88
Image_6613,384,348,14,70,2.13,0.04
Image_6612,384,365,37,116,1.44,0.1
Image_6611,384,24,367,94,1.86,15.29
Image_6610,384,14,309,66,1.69,22.07
Image_6609,384,50,74,61,1.44,1.48
Image_6608,384,18,146,51,2.57,8.11
Image_6607,384,11,215,49,5.02,19.55
Image_6606,384,66,38,50,1.9,0.58
Image_6605,384,7,336,48,2.4,48.0
Image_6604,384,19,74,37,1.72,3.89
Image_6603,384,12,208,50,2.12,17.33
Image_6602,384,10,77,28,1.85,7.7
Image_6601,384,9,108,31,4.0,12.0
Image_6600,384,24,323,88,1.37,13.46
Image_6599,384,234,15,59,2.43,0.06
Image_6598,384,29,334,98,1.82,11.52
Image_6597,384,11,168,43,2.13,15.27
Image_6596,384,19,332,79,2.03,17.47
Image_6595,384,31,360,106,2.49,11.61
Image_6594,384,17,254,66,5.41,14.94
Image_6593,384,15,362,74,1.94,24.13
Image_6592,384,336,18,78,4.81,0.05
Image_6591,384,9,107,31,4.45,11.89
Image_6590,384,29,22,25,2.66,0.76
Image_6589,384,44,68,55,2.97,1.55
Image_6588,384,73,115,92,2.57,1.58
Image_6587,384,69,74,71,2.59,1.07
Image_6586,384,52,69,60,2.16,1.33
Image_6585,384,42,65,52,2.32,1.55
Image_6584,384,42,59,50,2.79,1.4
Image_6583,384,60,96,76,1.94,1.6
Image_6582,384,89,83,86,2.22,0.93
Image_6581,384,40,25,32,2.49,0.62
Image_6580,384,68,90,78,2.89,1.32
Image_6579,384,80,56,67,2.11,0.7
Image_6578,384,35,46,40,1.68,1.31
Image_6577,384,37,48,42,4.09,1.3
Image_6576,384,25,41,32,3.86,1.64
Image_6575,384,19,30,24,2.31,1.58
Image_6574,384,38,53,45,4.17,1.39
